H-ID,type_id,current_shelfmark,location H-ID,collection,invented_label,is_hypothetical,is_hypothetical TRM-ID,claim_freetext,collection_of_fragments,collection_of_fragments TRM-ID,old_shelfmark,digitization H-ID,digitization_freetext,date_of_creation,date_freetext,date_of_creation_source,place_of_creation H-ID,place_of_creation_freetext,place_of_creation_source,described_by_source H-ID,described_at_URL,online_catalogue_URL,ARK,reference_notes,review_status,review_status TRM-ID,review_note
47972,106,19.577,43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],"https://opac.kbr.be/Library/search.aspx?SC=KBR_UNIFIED&QUERY=18.228&_lg=nl-BE#/Detail/(query:(Id:'position:%20SOLR/DEFA-000002_OFFSET_0',Index:2,NBResults:21,PageRange:3,SearchQuery:(CloudTerms:!(),FacetFilter:%7B%7D,ForceSearch:!f,InitialSearch:!f,Page:0,PageRange:3,QueryGuid:'304fca6a-5635-4a62-a632-94de9803bf5a',QueryString:'19577',ResultSize:50,ScenarioCode:KBR_UNIFIED,ScenarioDisplayMode:display-standard,SearchGridFieldsShownOnResultsDTO:!(),SearchLabel:'',SearchTerms:'19577',SessionGuid:dec08a3f-52eb-4b49-a656-63df2ae4f0ed,SortField:!n,SortOrder:0,TemplateParams:(Scenario:'',Scope:Library,Size:!n,Source:'',Support:'',UseCompact:!f),UseSpellChecking:!n)))",,[],Action required,9697,Digitization
47981,106,z.s. (Bourborg),,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository
47986,106,2937,43839.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add catalogue/digitization
47990,106,Vulc. 54 A,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,No urls?
47995,106,21,43962.0,"Kortrijk, Fonds van Sint-Maarten",,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Find url?
48000,106,1804,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository Leeuwarden
48001,106,z.s. (Den Bosch),,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository Den Bosch
48002,106,K 2: F 48,43807.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Check/no urls?
48009,106,z.s. Den Bosch stadsarchief (H 26),,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository
48014,106,Nr. 13,43817.0,"Mappe X, mhd. Fragmente",,No,9483,,Yes,9497,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/1608],,,[],Action required,9697,Catalogue/digitization
48026,106,"Germ. fol. 751,2",43889.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/9437],https://handschriftenportal.de/search?hspobjectid=HSP-eaec5d9a-ca7a-380e-9fb0-7476b9c0fbd8&q=Germ.+fol.+751&hl=true,,[],Action required,9697,ark
48032,106,15.393,43792.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Links/digitization
48033,106,1647,43787.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],https://lib.ugent.be/en/catalog/rug01:000990091?i=0&q=roman+van+antiochi%C3%AB,,[],Action required,9697,url?
48035,106,"IV 209,10",43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,catalogue/digitization
48036,106,z.s.,,Coll.-J. Deschamps,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization
48044,106,B 37,,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/23908],,,[],Action required,9697,Add repository (Burgsteinfurt B 37)
48050,106,z.s. (H33),,,,Yes,9482,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Check
48054,106,Ltk. 1352,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.arlima.net/eh/huon_de_bordeaux/nl_version_fragmentaire.html],,,[],Action required,9697,No catalogue?
48058,106,5000 PB 52,,Fragmenten-Katwijk/Fragment-Deschamps,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Add repository (H35)
48063,106,"II 719,49",43904.0,hs. II 719,,No,9483,,No,9498,[],[],[],,,,,,,[],[],,,[],Action required,9697,No catalogue?
48068,106,"B.P.L. 2552,37",43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization/url
48073,106,Ltk. 2159,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,url/digitization
48078,106,18.430,43904.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization
48088,106,"II 115,3",43904.0,,,No,9483,,Yes,9497,[],[],[],,,,,,,[47483],[],"https://opac.kbr.be/Library/search.aspx?SC=KBR_UNIFIED&QUERY=huge+van+bordeeus&_lg=nl-BE#/Detail/(query:(Id:'position:%20SOLR/DEFA-000002_OFFSET_0',Index:4,NBResults:165,PageRange:3,SearchQuery:(CloudTerms:!(),FacetFilter:%7B%7D,ForceSearch:!f,InitialSearch:!f,Page:0,PageRange:3,QueryGuid:d95e0237-4ee8-4402-97d2-9d9878a30115,QueryString:'roman%20van%20lancelot',ResultSize:50,ScenarioCode:KBR_UNIFIED,ScenarioDisplayMode:display-standard,SearchGridFieldsShownOnResultsDTO:!(),SearchLabel:'',SearchTerms:'roman%20van%20lancelot',SessionGuid:'097e85d8-d2cf-4660-a1e7-493cd179a3b9',SortField:!n,SortOrder:0,TemplateParams:(Scenario:'',Scope:Library,Size:!n,Source:'',Support:'',UseCompact:!f),UseSpellChecking:!n)))",,[],Action required,9697,Check (url?)
48093,106,75 H 58,43733.0,,,No,9483,,No,9498,[O 222],[],[],,,,,,,[47483],[],,,[],Action required,9697,Digitization
48098,106,Ltk. 1752,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/18433],,,[],Action required,9697,Digitization
48099,106,z.s. (H48 B),,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/18433],,,[],Action required,9697,Add repository Münster H 48 B
48100,106,z.s. (H48 C),,,,Yes,9482,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/18433],,,[],Action required,9697,Add repository Mengeringhausen H48 C
