H-ID,type_id,URI,digitization_of H-ID,IIIF,ARK
46669,126,https://gallica.bnf.fr/ark:/12148/btv1b9063357q,[45956],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9063357q/manifest.json,ark:/12148/btv1b9063357q
46670,126,https://gallica.bnf.fr/ark:/12148/btv1b8527594t,[45957],https://gallica.bnf.fr/iiif/ark:/12148/btv1b8527594t/manifest.json,ark:/12148/btv1b8527594t
46671,126,https://gallica.bnf.fr/ark:/12148/btv1b55006679z,[45693],https://gallica.bnf.fr/iiif/ark:/12148/btv1b55006679z/manifest.json,ark:/12148/btv1b55006679z
46672,126,https://gallica.bnf.fr/ark:/12148/btv1b85275957,[45959],https://gallica.bnf.fr/iiif/ark:/12148/btv1b85275957/manifest.json,ark:/12148/btv1b85275957
46673,126,https://gallica.bnf.fr/ark:/12148/btv1b104658206,[45960],https://gallica.bnf.fr/iiif/ark:/12148/btv1b104658206/manifest.json,ark:/12148/btv1b104658206
46674,126,https://gallica.bnf.fr/ark:/12148/btv1b52506756t,[45961],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52506756t/manifest.json,ark:/12148/btv1b52506756t
46675,126,https://gallica.bnf.fr/ark:/12148/btv1b9059154c,[45962],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059154c/manifest.json,ark:/12148/btv1b9059154c
46676,126,https://gallica.bnf.fr/ark:/12148/btv1b10023009b,[45963],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10023009b/manifest.json,ark:/12148/btv1b10023009b
46677,126,https://gallica.bnf.fr/ark:/12148/btv1b10510337v,[45964],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510337v/manifest.json,ark:/12148/btv1b10510337v
46678,126,https://gallica.bnf.fr/ark:/12148/btv1b9058903h,[45965],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9058903h/manifest.json,ark:/12148/btv1b9058903h
46679,126,https://gallica.bnf.fr/ark:/12148/btv1b10509725v,[45966],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509725v/manifest.json,ark:/12148/btv1b10509725v
46680,126,https://gallica.bnf.fr/ark:/12148/btv1b52511544b,[45967],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52511544b/manifest.json,ark:/12148/btv1b52511544b
46681,126,https://gallica.bnf.fr/ark:/12148/btv1b90605547,[45968],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90605547/manifest.json,ark:/12148/btv1b90605547
46682,126,https://gallica.bnf.fr/ark:/12148/btv1b55001677b,[45695],https://gallica.bnf.fr/iiif/ark:/12148/btv1b55001677b/manifest.json,ark:/12148/btv1b55001677b
46683,126,https://gallica.bnf.fr/ark:/12148/btv1b52505520s,[45970],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52505520s/manifest.json,ark:/12148/btv1b52505520s
46684,126,https://gallica.bnf.fr/ark:/12148/btv1b9059173q,[45971],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059173q/manifest.json,ark:/12148/btv1b9059173q
46685,126,https://gallica.bnf.fr/ark:/12148/btv1b9007157m,[45972],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9007157m/manifest.json,ark:/12148/btv1b9007157m
46686,126,https://gallica.bnf.fr/ark:/12148/btv1b10723855k,[45973],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10723855k/manifest.json,ark:/12148/btv1b10723855k
46687,126,https://gallica.bnf.fr/ark:/12148/btv1b9063733p,[45974],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9063733p/manifest.json,ark:/12148/btv1b9063733p
46688,126,https://gallica.bnf.fr/ark:/12148/btv1b9061349j,[45975],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9061349j/manifest.json,ark:/12148/btv1b9061349j
46689,126,https://gallica.bnf.fr/ark:/12148/btv1b9058908k,[45976],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9058908k/manifest.json,ark:/12148/btv1b9058908k
46690,126,https://gallica.bnf.fr/ark:/12148/btv1b90593401,[45977],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90593401/manifest.json,ark:/12148/btv1b90593401
46691,126,https://gallica.bnf.fr/ark:/12148/btv1b90593453,[45978],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90593453/manifest.json,ark:/12148/btv1b90593453
46692,126,https://gallica.bnf.fr/ark:/12148/btv1b8454675g,[45979],https://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,ark:/12148/btv1b8454675g
46693,126,https://gallica.bnf.fr/ark:/12148/btv1b52514362j,[45696],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52514362j/manifest.json,ark:/12148/btv1b52514362j
46694,126,https://gallica.bnf.fr/ark:/12148/btv1b9058889p,[45981],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9058889p/manifest.json,ark:/12148/btv1b9058889p
46695,126,https://gallica.bnf.fr/ark:/12148/btv1b10549431k,[45982],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10549431k/manifest.json,ark:/12148/btv1b10549431k
46696,126,https://gallica.bnf.fr/ark:/12148/btv1b9009672n,[45984],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9009672n/manifest.json,ark:/12148/btv1b9009672n
46697,126,https://gallica.bnf.fr/ark:/12148/btv1b9059123t,[45985],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059123t/manifest.json,ark:/12148/btv1b9059123t
46698,126,https://gallica.bnf.fr/ark:/12148/btv1b9059120k,[45986],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059120k/manifest.json,ark:/12148/btv1b9059120k
46699,126,https://gallica.bnf.fr/ark:/12148/btv1b10502007v,[45987],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10502007v/manifest.json,ark:/12148/btv1b10502007v
46700,126,https://gallica.bnf.fr/ark:/12148/btv1b9063108j,[45989],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9063108j/manifest.json,ark:/12148/btv1b9063108j
46701,126,https://gallica.bnf.fr/ark:/12148/btv1b9060526x,[45990],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9060526x/manifest.json,ark:/12148/btv1b9060526x
46702,126,https://gallica.bnf.fr/ark:/12148/btv1b60006868,[45992],https://gallica.bnf.fr/iiif/ark:/12148/btv1b60006868/manifest.json,ark:/12148/btv1b60006868
46703,126,https://gallica.bnf.fr/ark:/12148/btv1b9063668j,[45993],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9063668j/manifest.json,ark:/12148/btv1b9063668j
46704,126,https://gallica.bnf.fr/ark:/12148/btv1b550005068,[45699],https://gallica.bnf.fr/iiif/ark:/12148/btv1b550005068/manifest.json,ark:/12148/btv1b550005068
46705,126,https://gallica.bnf.fr/ark:/12148/btv1b90589416,[45994],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90589416/manifest.json,ark:/12148/btv1b90589416
46706,126,https://gallica.bnf.fr/ark:/12148/btv1b8514424m,[45995],https://gallica.bnf.fr/iiif/ark:/12148/btv1b8514424m/manifest.json,ark:/12148/btv1b8514424m
46707,126,https://gallica.bnf.fr/ark:/12148/btv1b85144236,[45996],https://gallica.bnf.fr/iiif/ark:/12148/btv1b85144236/manifest.json,ark:/12148/btv1b85144236
46708,126,https://gallica.bnf.fr/ark:/12148/btv1b100336071,[45997],https://gallica.bnf.fr/iiif/ark:/12148/btv1b100336071/manifest.json,ark:/12148/btv1b100336071
46709,126,https://gallica.bnf.fr/ark:/12148/btv1b52504852q,[45998],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52504852q/manifest.json,ark:/12148/btv1b52504852q
46710,126,https://gallica.bnf.fr/ark:/12148/btv1b9007234z,[45999],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9007234z/manifest.json,ark:/12148/btv1b9007234z
46711,126,https://gallica.bnf.fr/ark:/12148/btv1b9059956z,[46000],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059956z/manifest.json,ark:/12148/btv1b9059956z
46712,126,https://gallica.bnf.fr/ark:/12148/btv1b9059153z,[46001],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059153z/manifest.json,ark:/12148/btv1b9059153z
46713,126,https://gallica.bnf.fr/ark:/12148/btv1b90595162,[46003],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90595162/manifest.json,ark:/12148/btv1b90595162
46714,126,https://gallica.bnf.fr/ark:/12148/btv1b55013464t,[46004],https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013464t/manifest.json,ark:/12148/btv1b55013464t
46715,126,https://gallica.bnf.fr/ark:/12148/btv1b104671135,[45700],https://gallica.bnf.fr/iiif/ark:/12148/btv1b104671135/manifest.json,ark:/12148/btv1b104671135
46716,126,https://gallica.bnf.fr/ark:/12148/btv1b90596061,[46005],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90596061/manifest.json,ark:/12148/btv1b90596061
46717,126,https://gallica.bnf.fr/ark:/12148/btv1b90599848,[46006],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90599848/manifest.json,ark:/12148/btv1b90599848
46718,126,https://gallica.bnf.fr/ark:/12148/btv1b9058079j,[46007],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9058079j/manifest.json,ark:/12148/btv1b9058079j
46719,126,https://gallica.bnf.fr/ark:/12148/btv1b9059916f,[46008],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059916f/manifest.json,ark:/12148/btv1b9059916f
46720,126,https://gallica.bnf.fr/ark:/12148/btv1b9063772s,[46010],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9063772s/manifest.json,ark:/12148/btv1b9063772s
46721,126,https://gallica.bnf.fr/ark:/12148/btv1b90614405,[46011],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90614405/manifest.json,ark:/12148/btv1b90614405
46722,126,https://gallica.bnf.fr/ark:/12148/btv1b90596988,[46012],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90596988/manifest.json,ark:/12148/btv1b90596988
46723,126,https://gallica.bnf.fr/ark:/12148/btv1b10032781p,[46014],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10032781p/manifest.json,ark:/12148/btv1b10032781p
46724,126,https://gallica.bnf.fr/ark:/12148/btv1b90590363,[46015],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90590363/manifest.json,ark:/12148/btv1b90590363
46725,126,https://gallica.bnf.fr/ark:/12148/btv1b10520635d,[46016],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10520635d/manifest.json,ark:/12148/btv1b10520635d
