H-ID,type_id,is_inscribed_on H-ID,div_order,number_of_verses,part_of_text,volume_number,physical_description H-ID,number_of_lines,verses_per_line,verses_per_line TRM-ID,lines_are_incomplete,lines_are_incomplete TRM-ID,page_ranges,review_status,review_status TRM-ID,review_note
48016,125,48014,1.0,388.0,,,48017.0,388.0,,,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Verses per line?
48029,125,48026,1.0,192.0,,,48030.0,192.0,one verse per line,9831.0,No,9498,[1r-4v],Action required,9697,Check.
48038,125,48032,1.0,124.0,,,48039.0,124.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v, 3r-3v, 4r-4v]",Action required,9697,"Four parts of a page, now looks like four whole pages"
48040,125,48033,2.0,30.0,,,48039.0,30.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check parts/divisions
48041,125,48035,3.0,30.0,,,48039.0,30.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,see other
48042,125,48036,4.0,48.0,,,48039.0,48.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
48046,125,48044,1.0,10092.0,Full text,,48047.0,10092.0,one verse per line,9831.0,No,9498,[1r-62v],Action required,9697,Check
48052,125,48050,1.0,800.0,,,48053.0,800.0,one verse per line,9831.0,Yes,9497,[1r-4v],Action required,9697,
48056,125,48054,1.0,346.0,,,48057.0,346.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check 'initial'
48060,125,48058,1.0,40.0,,,48061.0,40.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
48062,125,48058,2.0,115.0,,,48061.0,115.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Order?
48065,125,48063,1.0,225.0,,,48066.0,225.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
48070,125,48068,1.0,500.0,Prologue,,48071.0,500.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v]",Action required,9697,Check
48075,125,48073,1.0,220.0,,,48076.0,220.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check order
48080,125,48078,1.0,310.0,,,48081.0,310.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
48084,125,47782,1.0,856.0,Full text,,47787.0,856.0,one verse per line,9831.0,No,9498,[188r-190r],Action required,9697,Check
48087,125,47782,1.0,32500.0,Last third,,47787.0,32500.0,one verse per line,9831.0,No,9498,[1r-99v],Action required,9697,Check.
48090,125,48088,1.0,396.0,,,48092.0,396.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
48095,125,48093,1.0,396.0,,,48096.0,396.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
48103,125,48098,1.0,43.0,,,48104.0,43.0,one verse per line,9831.0,Yes,9497,[21r-21v],Action required,9697,Page range/order division
48105,125,48099,1.0,184.0,,,48104.0,184.0,one verse per line,9831.0,Yes,9497,"[8r-8v, 38r-38v]",Action required,9697,Check
48106,125,48100,1.0,208.0,,,48104.0,208.0,one verse per line,9831.0,No,9498,[6r-6v],Action required,9697,Check
48107,125,48101,1.0,5638.0,,,48104.0,5638.0,one verse per line,9831.0,Yes,9497,"[1r-5v, 7r-7v, 9r-20v, 22r-37v]",Action required,9697,Check
48112,125,48110,1.0,102.0,,,48113.0,102.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check
48118,125,45381,1.0,793.0,,,48119.0,793.0,one verse per line,9831.0,Yes,9497,[1r-5v],Action required,9697,Check
48120,125,48116,2.0,26.0,,,48119.0,26.0,one verse per line,9831.0,unknown,9535,[1r-1v],Action required,9697,Check
48124,125,48121,1.0,184.0,Book 1,,48125.0,184.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
48139,125,48127,4.0,9800.0,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,
48141,125,48128,1.0,,,,48140.0,,one verse per line,9831.0,unknown,9535,[1r-19v],Action required,9697,
48142,125,48129,7.0,,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,
48143,125,48130,8.0,,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,
48144,125,48131,5.0,,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,
48145,125,48132,6.0,,,,48140.0,,one verse per line,9831.0,No,9498,[1r-1v],Action required,9697,
48146,125,48135,2.0,,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,
48147,125,48136,3.0,,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,
48148,125,48137,5.0,,,,48140.0,,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check loci
48158,125,48154,1.0,46.0,,,48159.0,46.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check
