H-ID,type_id,is_inscribed_on H-ID,div_order,number_of_verses,part_of_text,volume_number,physical_description H-ID,number_of_lines,verses_per_line,verses_per_line TRM-ID,lines_are_incomplete,lines_are_incomplete TRM-ID,page_ranges,review_status,review_status TRM-ID,review_note
47625,125,47622,1.0,160.0,,,47626.0,160.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47629,125,47627,1.0,331.0,,,47630.0,331.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
47633,125,47631,1.0,245.0,,,47634.0,245.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
47638,125,47636,1.0,40881.0,Full text,,47639.0,40881.0,one verse per line,9831.0,No,9498,"[1r-1v, 2r-3v, 4r-287v, 288r-288v]",Action required,9697,Check.
47650,125,47647,1.0,930.0,'Dits hoe her Hector ute der stat voer die van Troyen te hulpen',,47651.0,930.0,one verse per line,9831.0,No,9498,[130v-136r],Action required,9697,Check order.
47652,125,47647,2.0,186.0,'Dits her Hectors doot',,47651.0,186.0,one verse per line,9831.0,No,9498,[136r-136v],Action required,9697,Check order.
47656,125,47653,1.0,739.0,,,47657.0,739.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v]",Action required,9697,Check decoration.
47663,125,47658,3.0,357.0,,,47664.0,357.0,one verse per line,9831.0,Yes,9497,[5r-5v],Action required,9697,Check.
47665,125,47658,1.0,1473.0,,,47664.0,1473.0,one verse per line,9831.0,Yes,9497,[1r-4v],Action required,9697,Check.
47666,125,47660,2.0,60.0,,,47664.0,60.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check page ranges for whole witness.
47667,125,47661,4.0,1444.0,,,47664.0,1444.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v]",Action required,9697,Check
47671,125,47668,2.0,668.0,,,47672.0,668.0,one verse per line,9831.0,unknown,9535,"[1r-2v, 3r-4v]",Action required,9697,Check.
47673,125,47669,1.0,48.0,,,47672.0,48.0,one verse per line,9831.0,Yes,9497,[1r-1v],Action required,9697,Check.
47678,125,47675,1.0,140.0,,,47679.0,140.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
47682,125,47680,1.0,208.0,,,47683.0,208.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check.
