H-ID,type_id,is_manifestation_of H-ID,observed_on_pages H-ID,last_observed_in_doc H-ID,is_unobserved,is_unobserved TRM-ID,claim_freetext,used_to_follow_fragment H-ID,used_to_follow_witness H-ID,preferred_siglum,alternative_sigla,status_witness,status_witness TRM-ID,status_notes,is_excerpt,is_excerpt TRM-ID,regional_writing_style H-ID,scripta_freetext,date_of_creation,date_of_creation_certainty,date_of_creation_certainty TRM-ID,date_of_creation_source,date_freetext,scribe H-ID,number_of_hands,scribe_note,place_of_creation H-ID,place_of_creation_source,described_by_source H-ID,described_at_URL,reference_notes,review_status,review_status TRM-ID,review_note
47978,105,47977.0,[47979],,No,9483,,,,Hs. 24,[],complete,9545,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1335-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1335-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 14.",'c.1325',[],,,[],,[47483],[https://digitalcollections.universiteitleiden.nl/view/item/1598537?solr_nav%5Bid%5D=a2ed1d13c8c952ff681e&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=0#page/1/mode/1up],,Action required,9697,Check.
47982,105,47980.0,[47983],,Maybe,9484,,,,H20,[],fragmentary,9544,,No,9483,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1385-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1385-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15.",'XIVm',[],,,[],,[47483],[],,Action required,9697,Check
47987,105,47985.0,[47988],,No,9483,,,,H21,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1291-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1510-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1291-01-01 00:00:00, 'estMaxDate': 1510-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'XIV/XV',[],,,[],,[47483],[],,Action required,9697,Find url
47991,105,47985.0,[47992],,No,9483,,,,H22,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1291-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1510-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1291-01-01 00:00:00, 'estMaxDate': 1510-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'XIV/XV',[],2.0,,[],,[47483],[],,Action required,9697,Check
47996,105,47994.0,[47997],,No,9483,,,,H24,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1360-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1360-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15.",'≤ 1350',[],,,[],,[47483],[],,Action required,9697,Check
48003,105,47999.0,"[48004, 48006, 48007]",,No,9483,,,,H25,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1366-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1366-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",'XIVd',[],,,[],,[47483],[],,Action required,9697,Check.
48010,105,48008.0,[48011],,No,9483,,,,H26,[],fragmentary,9544,,No,9483,46312.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1360-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1360-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 14.",'< 1350',[],,,[],,[47483],[],,Action required,9697,Check.
48015,105,48013.0,[48016],,No,9483,,,,H28,[],fragmentary,9544,,No,9483,47503.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1191-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1201-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1191-01-01 00:00:00, 'estMaxDate': 1201-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 13.",'c.1200',[],,,[],,[47483],[https://www.handschriftencensus.de/1608],,Action required,9697,Check.
48028,105,48025.0,[48029],,No,9483,,,,H30,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1291-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1335-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowFinish, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1291-01-01 00:00:00, 'estMaxDate': 1335-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 14.",'≥ 1300',[],2.0,,[],,[47483],[https://handschriftenportal.de/search?hspobjectid=HSP-eaec5d9a-ca7a-380e-9fb0-7476b9c0fbd8&q=Germ.+fol.+751&hl=true],,Action required,9697,Check.
48037,105,48031.0,"[48038, 48040, 48041, 48042]",,No,9483,,,,H31,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1316-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1335-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1316-01-01 00:00:00, 'estMaxDate': 1335-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 14.",'c.1325',[],,,[],,[47483],[https://lib.ugent.be/en/catalog/rug01:000990091?i=0&q=roman+van+antiochi%C3%AB],,Action required,9697,Check all parts.
