H-ID,type_id,preferred_name,label_name,city H-ID,alternative_names,VIAF,ISNI,biblissima_identifier,website
43742,108,Bibliothèque municipale Saint-Germain-en-Laye,Bibliothèque municipale,43669,"[bibliothèque municipale de Saint-Germain-en-Laye, Yvelines]",128759256.0,,,
43743,108,Bibliothèque de l'Université de l'État,Bibliothèque de l'Université de l'État,43670,[],1.91450032866613e+19,,,
43744,108,Bürgerbibliothek Bern,Bürgerbibliothek Bern,43664,"[Burgerbibliothek (Berno)., Bibliothèque de la Bourgeoisie Berne, Bibliothèque de la Bourgeoisie de Berne, Burgerbibliothek Bern (CH-BEb)]",157880358.0,0000000120977853,,
43745,108,McGill University. Libraries,McGill University. Libraries,43430,[McGill University. Bibliothèques],130108013.0,,,
43746,108,Hessisches Hauptstaatsarchiv,Hessisches Hauptstaatsarchiv,42930,"[Hesse. Hauptstaatsarchiv (Wiesbaden, Allemagne), Hessisches Hauptstaatsarchiv Wiesbaden, Allemagne, Hessisches Hauptstaatsarchiv Wiesbaden (D-WIhha), Hessisches Hauptstaatsarchiv Abteilung des Hessischen Landesarchivs mit Sitz in Wiesbaden, Hessisches Hauptstaatsarchiv (Wiesbaden)]",139599477.0,0000000123148786,,
43747,108,Bibliothèque municipale et interuniversitaire,Bibliothèque municipale,43655,"[Clermont-Ferrand (France). Bibliothèque municipale et interuniversitaire, Bibliothèque Municipale, Bibliothèque municipale et interuniversitaire (Clermont-Ferrand, France)]",137908739.0,0000000123588941,,
43748,108,Bibliothèque municipale,Bibliothèque municipale,43671,"[Bibliothèque municipale (Châlons-sur-Marne), Châlons-en-Champagne, Bibliothèques municipales, Bibliothèque municipale de Châlons-en-Champagne]",146436947.0,,,
43749,108,York Minster. Library,York Minster. Library,43672,[Minster Library York (GB-Y)],147210143.0,,,
43750,108,"Universidade de Coimbra., Biblioteca Geral",Universidade de Coimbra Biblioteca Geral,43673,[Biblioteca Geral da Universidade de Coimbra],156615544.0,0000000121924104,,
43751,108,Bibliothèque Louis-Garret,Bibliothèque Louis-Garret,42745,[],5.014693770401383e+19,,,
43752,108,Archives de l'Etat,Archives de l'Etat,43614,"[Archives de l'État de Fribourg Fribourg (CH-Faef), Archives de l'État de Fribourg Suisse, Staatsarchiv Freiburg (Schweiz), Archives de l'État de Fribourg (collection), Archives de l'État (Fribourg, Suisse) (canton), Archives de l'Etat de Fribourg]",127309070.0,0000000110876952,,
43753,108,Bibliothèque Mazarine,Bibliothèque Mazarine,43675,"[Bibliothèque Mazarine (Paris) (1643-....), Bibliothèque Mazarine (Paryż)., Bibliothèque Mazarine Paris (F-Pm), Paris., Bibliothéque Mazarine, Bibliothèque Mazarine (Paris)]",150882171.0,0000000122964466,,
43754,108,Forschungsbibliothek Gotha,Forschungsbibliothek Gotha,43677,[Landesbibliothek Gotha.],148396150.0,0000000107030008,,
43755,108,Biblioteca capitolare,Biblioteca capitolare,43678,"[Biblioteca capitolare Monza, Italie, Biblioteca capitolare di Monza, Biblioteca capitolare del Duomo Monza (I-MZ), Biblioteca capitolare (Verona, Italia), Biblioteca Capitolare Monza]",7.011491982822749e+20,0000000121702480,,
43756,108,Badische Landesbibliothek Karlsruhe,Badische Landesbibliothek Karlsruhe,42811,"[Badische Landesbibliothek., Badische Landesbibliothek (Karlsruhe, Allemagne), Badische Landesbibliothek, Musiksammlung Karlsruhe (D-KA)]",156582730.0,0000000405650782,,
43757,108,Bibliothèque Municipale Valenciennes,Bibliothèque Municipale,43679,"[Bibliothèque Municipale, bibliothèque municipale de Valenciennes, Bibliothèque municipale Valenciennes (F-VAL), Valenciennes (France). Bibliothèque municipale, Bibliothèque municipale Valenciennes, Nord]",155510318.0,0000000119583128,,
43758,108,Lincolnshire Archives Office,Lincolnshire Archives Office,43680,[],141912871.0,0000000106965928,,
43759,108,Archives départementales de la Manche,Archives dép. la Manche,42735,"[archives départementales de la Manche archives du département de la Manche, Archives Départementales de la Manche Saint-Lô, Archives départementales (Manche), Manche. Archives départementales]",153679842.0,0000000122968555,,
43760,108,Biblioteca apostolica vaticana,Biblioteca apostolica vaticana,43070,"[Biblioteca apostolica vaticana (Vatikán), Vaticano., Biblioteca Apostolica Vaticana, bibliothèque apostolique vaticane, Biblioteka Watykańska, ספריית הוותיקן, Biblioteca Apostolica Vaticana Città del Vaticano (V-CVbav)]",146085455.0,0000000121786485,,
43761,108,Bibliothèque municipale,Bibliothèque municipale,42678,"[bibliothèque municipale de Laon, Bibliothèque municipale Suzanne Martinet, Bibliothèque municipale Laon (F-LA), Bibliothèque de Laon, Bibliothèque Municipale, Bibliothèque municipale Suzanne Martinet Laon]",136779628.0,0000000121655274,,
43762,108,Archives départementales des Côtes-d'Armor,Archives dép. Côtes-d'Armor,42728,[],136478623.0,0000000121104202,,
43763,108,Pierpont Morgan Library,Pierpont Morgan Library,43498,"[Morgan library & museum New York, N.Y., Pierpont Morgan Library New York, NY, The Morgan Library & Museum New York City, NY (US-NYpm), Pierpont Morgan Library (Estados Unidos), Pierpont Morgan library (New York)]",140782799.0,0000000122929935,,
43764,108,Archivio di Stato,Archivio di Stato,43686,"[Italie. Archivio di Stato (Parme), Archivio di Stato di Parma (Italy), Archivio di Stato di Parma, Archivio di Stato Parma (I-PAas)]",151351604.0,0000000121854425,,
