H-ID,type_id,subject_of_description H-ID,material,material TRM-ID,form,form TRM-ID,folio_size_width,folio_size_height,folio_size_reference,estimated_folio_size_height,estimated_folio_size_width,estimated_folio_size_reference,has_decorations,has_decorations TRM-ID,amount_of_illustrations,amount_of_illustrations TRM-ID,writing_surface_area_height,writing_surface_area_width,writing_surface_area_reference,number_of_columns,number_of_lines_in_writing_area,above_top_line,above_top_line TRM-ID,script_type,script_type TRM-ID,subscript_type,subscript_type TRM-ID
48286,129,48283.0,chart,9783,codex,9788,204,277,"Kienhorst (1988), p. 188.",,,,[unknown],[9793],unknown,9799,214,160,,2,51-52,unknown,9535.0,cursiva,9807,,
48292,129,48289.0,perg,9782,codex,9788,123,175,"Kienhorst (1988), p. 189.",,,,[rubrication],[9795],none,9800,,78,,1,,unknown,9535.0,textualis,9806,,
48308,129,48305.0,perg,9782,codex,9788,170,250,"Kienhorst (1988), p. 225.",,,,[rubrication],[9795],none,9800,190-195,125,,2,39-40,unknown,9535.0,textualis,9806,,
48314,129,48309.0,perg,9782,codex,9788,250,350-360,"Kienhorst (1988), p. 226.",,,,[rubrication],[9795],none,9800,247-248,180,,3,56-57,unknown,9535.0,textualis,9806,,
48320,129,48317.0,perg,9782,codex,9788,130,185,"Kienhorst (1988), p. 228.",,,,[rubrication],[9795],none,9800,150,110,,1,29-30,unknown,9535.0,textualis,9806,,
48326,129,48322.0,perg,9782,codex,9788,35-39,219,"Kienhorst (1988), p. 230.",,,,[rubrication],[9795],none,9800,,,,2,50,,,textualis,9806,,
48331,129,48328.0,perg,9782,codex,9788,180,275-280,"Kienhorst (1988), p. 232.",,,,"[rubrication, incomplete dec.]","[9795, 9796]",none,9800,234-239,128,,2,50,unknown,9535.0,textualis,9806,,
48336,129,48333.0,perg,9782,codex,9788,175,240,"Kienhorst (1988), p. 233.",,,,[rubrication],[9795],none,9800,,,,2,45,unknown,9535.0,textualis,9806,,
48341,129,48338.0,perg,9782,codex,9788,190,270,"Kienhorst (1988), p. 235.",,,,[rubrication],[9795],none,9800,,135,,2,,unknown,9535.0,textualis,9806,,
48346,129,48343.0,perg,9782,codex,9788,165-170,240,"Kienhorst (1988), p. 237.",,,,"[rubrication, incomplete dec.]","[9795, 9796]",none,9800,,128,,2,,unknown,9535.0,textualis,9806,,
