H-ID,type_id,subject_of_description H-ID,material,material TRM-ID,form,form TRM-ID,folio_size_width,folio_size_height,folio_size_reference,estimated_folio_size_height,estimated_folio_size_width,estimated_folio_size_reference,has_decorations,has_decorations TRM-ID,amount_of_illustrations,amount_of_illustrations TRM-ID,writing_surface_area_height,writing_surface_area_width,writing_surface_area_reference,number_of_columns,number_of_lines_in_writing_area,above_top_line,above_top_line TRM-ID,script_type,script_type TRM-ID,subscript_type,subscript_type TRM-ID
47534,129,47530.0,perg,9782,codex,9788,210,300,"Kienhorst (1988), p. 18.",,,,[rubrication],[9795],none,9800,242,,,2,45,,,textualis,9806,,
47538,129,47535.0,perg,9782,codex,9788,180,265,"Kienhorst (1988), p. 19.",,,,[rubrication],[9795],none,9800,,156-157,,2,,,,textualis,9806,,
47543,129,47540.0,perg,9782,codex,9788,200,280,"Kienhorst (1988), p. 24.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,250,163-165,"Kienhorst (1988), p. 24.",3,52-53,,,textualis,9806,,
47547,129,47544.0,perg,9782,codex,9788,NA,NA,"Kienhorst (1988), p. 25.",,,,[no decoration],[9797],none,9800,160,120,"Kienhorst (1988), p. 25.",2,35-37,,,textualis,9806,,
47554,129,47550.0,perg,9782,codex,9788,168,260,"Kienhorst (1988), p. 55.",,,,[unknown],[9793],unknown,9799,214,135,"Kienhorst (1988), p. 55.",2,40,unknown,9535.0,textualis,9806,,
47558,129,47555.0,perg,9782,codex,9788,115-120,175,"Kienhorst (1988), p. 56.",,,,[rubrication],[9795],none,9800,138-141,65-66,"Kienhorst (1988), p. 56.",1,28,unknown,9535.0,textualis,9806,,
47571,129,47563.0,perg,9782,codex,9788,192,270-280,"Kienhorst (1988), p. 129.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,225,150,"Kienhorst (1988), p. 129.",2,40,unknown,9535.0,textualis,9806,,
47579,129,47573.0,perg,9782,codex,9788,195-200,280-290,"Kienhorst (1988), p. 131.",,,,[rubrication],[9795],none,9800,230-235,145,"Kienhorst (1988), p. 131.",2,54,unknown,9535.0,textualis,9806,,
47584,129,47581.0,perg,9782,codex,9788,218,310,"Kienhorst (1988), p. 132.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,245,,,2,57-61,unknown,9535.0,textualis,9806,,
47589,129,47585.0,perg,9782,codex,9788,155-159,200-203,"Kienhorst (1988), p. 134.",,,,[rubrication],[9795],none,9800,,140,,2,40,unknown,9535.0,textualis,9806,,
47594,129,47591.0,perg,9782,codex,9788,180,260,"Kienhorst (1988), p. 135.",,,,[rubrication],[9795],none,9800,225,140,"Kienhorst (1988), p. 135.",2,50,unknown,9535.0,textualis,9806,,
47617,129,47614.0,perg,9782,codex,9788,200,280,"Kienhorst (1988), p. 135",,,,[rubrication],[9795],none,9800,,151-152,,2,40,unknown,9535.0,textualis,9806,,
47621,129,47618.0,perg,9782,codex,9788,98,186,"Kienhorst (1988), p. 136-137",,,,[rubrication],[9795],none,9800,,64-67,,2,40,unknown,9535.0,textualis,9806,,
47626,129,47622.0,perg,9782,codex,9788,105,266-267,"Kienhorst (1988), p. 137",,,,[rubrication],[9795],none,9800,218,,,2,50,,,textualis,9806,,
47630,129,47627.0,perg,9782,codex,9788,160-164,240,"Kienhorst (1988), p. 138",,,,[rubrication],[9795],none,9800,195,132,,2,43,unknown,9535.0,textualis,9806,,
47634,129,47631.0,perg,9782,codex,9788,183,251,"Kienhorst (1988), p. 139",,,,[rubrication],[9795],none,9800,207-209,135,"Kienhorst (1988), p. 139.",2,50,unknown,9535.0,textualis,9806,,
47639,129,47636.0,chart,9783,codex,9788,206,284,"Kienhorst (1988), p. 196",,,,"[rubrication, initial]","[9795, 9794]",none,9800,215,155,"Kienhorst (1988), p. 196.",2,34-39,unknown,9535.0,hybrida,9808,,
47651,129,47647.0,chart,9783,codex,9788,205,274,"Kienhorst (1988), p. 194.",,,,[rubrication],[9795],none,9800,,,,2,46-47,,,cursiva,9807,,
47657,129,47653.0,perg,9782,codex,9788,170,240-245,"Kienhorst (1988), p. 197.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,198-203,129,"Kienhorst (1988), p. 197.",2,46,unknown,9535.0,textualis,9806,,
47664,129,47658.0,perg,9782,codex,9788,240,335-340,"Kienhorst (1988), p. 199.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,260-265,185,"Kienhorst (1988), p. 199.",3,62,unknown,9535.0,textualis,9806,,
47672,129,47668.0,perg,9782,codex,9788,190-195,280,"Kienhorst (1988), p. 201.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,230,158-161,"Kienhorst (1988), p. 201.",2,42,unknown,9535.0,textualis,9806,,
47679,129,47675.0,perg,9782,codex,9788,157-158,208,"Kienhorst (1988), p. 203.",,,,[rubrication],[9795],none,9800,265,,,2,50,unknown,9535.0,textualis,9806,,
47683,129,47680.0,perg,9782,codex,9788,183,232,"Kienhorst (1988), p. 204.",,,,[rubrication],[9795],none,9800,225-230,170,,2,52,unknown,9535.0,textualis,9806,,
47688,129,47685.0,perg,9782,codex,9788,197-201,280-290,"Kienhorst (1988), p. 204.",,,,[rubrication],[9795],none,9800,240,155,,2,50,unknown,9535.0,textualis,9806,,
